,Title,Company,url,Location,company_url
0,Fullstack Engineer,Lyft,https://ca.linkedin.com/jobs/view/fullstack-engineer-at-lyft-4200184203?position=1&pageNum=0&refId=bddIAVulIQjFWWtfJ9DEKg%3D%3D&trackingId=LeOwYVPAHBPby2OigXyZEw%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/lyft?trk=public_jobs_jserp-result_job-search-card-subtitle
1,Software Developer I,Scotiabank,https://ca.linkedin.com/jobs/view/software-developer-i-at-scotiabank-4228749898?position=2&pageNum=0&refId=bddIAVulIQjFWWtfJ9DEKg%3D%3D&trackingId=MP175J00pSe92SjgjAwDTg%3D%3D,"Toronto, Ontario, Canada",https://ca.linkedin.com/company/scotiabank?trk=public_jobs_jserp-result_job-search-card-subtitle
2,"Software Development Engineer I, 2025",Amazon,https://ca.linkedin.com/jobs/view/software-development-engineer-i-2025-at-amazon-4097107717?position=3&pageNum=0&refId=bddIAVulIQjFWWtfJ9DEKg%3D%3D&trackingId=SwDnRFQL5cK%2FCjA2PJhX2g%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/amazon?trk=public_jobs_jserp-result_job-search-card-subtitle
3,Junior Software Developer - Full Stack,Electric Mind,https://ca.linkedin.com/jobs/view/junior-software-developer-full-stack-at-electric-mind-4229529511?position=4&pageNum=0&refId=bddIAVulIQjFWWtfJ9DEKg%3D%3D&trackingId=vkWL%2FYqaBcQa%2BEvbuzUh%2Bg%3D%3D,"Ontario, Canada",https://ca.linkedin.com/company/electricmind?trk=public_jobs_jserp-result_job-search-card-subtitle
4,Java Developer,Scotiabank,https://ca.linkedin.com/jobs/view/java-developer-at-scotiabank-4092083049?position=5&pageNum=0&refId=bddIAVulIQjFWWtfJ9DEKg%3D%3D&trackingId=k%2B17M5fyJjYtT1opXFThlg%3D%3D,"Toronto, Ontario, Canada",https://ca.linkedin.com/company/scotiabank?trk=public_jobs_jserp-result_job-search-card-subtitle
5,"Software Engineer, Frontend - Canada",DoorDash,https://ca.linkedin.com/jobs/view/software-engineer-frontend-canada-at-doordash-4229281507?position=6&pageNum=0&refId=bddIAVulIQjFWWtfJ9DEKg%3D%3D&trackingId=iV0XxK2qgdHfOHCee9LD5g%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/doordash?trk=public_jobs_jserp-result_job-search-card-subtitle
6,Backend Engineer,Lyft,https://ca.linkedin.com/jobs/view/backend-engineer-at-lyft-4231599425?position=7&pageNum=0&refId=bddIAVulIQjFWWtfJ9DEKg%3D%3D&trackingId=fufA2den3aXvt6RibHdKag%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/lyft?trk=public_jobs_jserp-result_job-search-card-subtitle
7,Software Engineering Intern (September 2025),Kepler Communications Inc.,https://ca.linkedin.com/jobs/view/software-engineering-intern-september-2025-at-kepler-communications-inc-4230368964?position=8&pageNum=0&refId=bddIAVulIQjFWWtfJ9DEKg%3D%3D&trackingId=rHkLNlGGCYeeTqbJHYZh8g%3D%3D,"Toronto, Ontario, Canada",https://ca.linkedin.com/company/kepler-communications-inc-?trk=public_jobs_jserp-result_job-search-card-subtitle
8,"Full Stack Engineer, Enterprise Engineering",Stripe,https://ca.linkedin.com/jobs/view/full-stack-engineer-enterprise-engineering-at-stripe-4217681317?position=9&pageNum=0&refId=bddIAVulIQjFWWtfJ9DEKg%3D%3D&trackingId=ERKNzKOMIsMTDqPENHPBDw%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/stripe?trk=public_jobs_jserp-result_job-search-card-subtitle
9,"Java Developer, Operate - Future Opportunity",Deloitte,https://ca.linkedin.com/jobs/view/java-developer-operate-future-opportunity-at-deloitte-4106306451?position=10&pageNum=0&refId=bddIAVulIQjFWWtfJ9DEKg%3D%3D&trackingId=rjwSucBANlBTMjEgD9bxEw%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/deloitte?trk=public_jobs_jserp-result_job-search-card-subtitle
10,Tech Ops Engineer I,EQ Bank | Equitable Bank,https://ca.linkedin.com/jobs/view/tech-ops-engineer-i-at-eq-bank-equitable-bank-4200987698?position=1&pageNum=2&refId=yAGcRoF03i2XdrM26W3JYg%3D%3D&trackingId=xZgETvf09fEwWtG05GtBgQ%3D%3D,"Toronto, Ontario, Canada",https://ca.linkedin.com/company/equitablebank?trk=public_jobs_jserp-result_job-search-card-subtitle
11,Development Operations Engineer,Porter Airlines Inc.,https://ca.linkedin.com/jobs/view/development-operations-engineer-at-porter-airlines-inc-4175333348?position=2&pageNum=2&refId=yAGcRoF03i2XdrM26W3JYg%3D%3D&trackingId=sENlPVv1PF23V%2BASnA3xVg%3D%3D,"Toronto, Ontario, Canada",https://ca.linkedin.com/company/porter-airlines-inc-?trk=public_jobs_jserp-result_job-search-card-subtitle
12,Software Engineer II (Backend),EQ Bank | Equitable Bank,https://ca.linkedin.com/jobs/view/software-engineer-ii-backend-at-eq-bank-equitable-bank-4158951522?position=3&pageNum=2&refId=yAGcRoF03i2XdrM26W3JYg%3D%3D&trackingId=1%2Bfi4TckSvD9uT6OgCvyRA%3D%3D,"Toronto, Ontario, Canada",https://ca.linkedin.com/company/equitablebank?trk=public_jobs_jserp-result_job-search-card-subtitle
13,Staff Software Developer,CNN,https://ca.linkedin.com/jobs/view/staff-software-developer-at-cnn-4183187483?position=4&pageNum=2&refId=yAGcRoF03i2XdrM26W3JYg%3D%3D&trackingId=gbJfJzX9EDc929Ku49VXLw%3D%3D,"Kanata, Ontario, Canada",https://www.linkedin.com/company/cnn?trk=public_jobs_jserp-result_job-search-card-subtitle
14,"Software Engineer / SDE II, Amazon",Amazon,https://ca.linkedin.com/jobs/view/software-engineer-sde-ii-amazon-at-amazon-4215148915?position=5&pageNum=2&refId=yAGcRoF03i2XdrM26W3JYg%3D%3D&trackingId=ACB8mjtoHSxzRm9LIf59uw%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/amazon?trk=public_jobs_jserp-result_job-search-card-subtitle
15,Full Stack Engineer,ResQ,https://ca.linkedin.com/jobs/view/full-stack-engineer-at-resq-4231761603?position=6&pageNum=2&refId=yAGcRoF03i2XdrM26W3JYg%3D%3D&trackingId=vpMZgTl14tOOv0S1spJ4Hw%3D%3D,"Toronto, Ontario, Canada",https://ca.linkedin.com/company/getresq-restaurant-repair?trk=public_jobs_jserp-result_job-search-card-subtitle
16,SDET (Software Developer Engineer in Test),Priceline,https://ca.linkedin.com/jobs/view/sdet-software-developer-engineer-in-test-at-priceline-3800452008?position=7&pageNum=2&refId=yAGcRoF03i2XdrM26W3JYg%3D%3D&trackingId=zB9gH173gmLenIetxOLgFA%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/priceline-com?trk=public_jobs_jserp-result_job-search-card-subtitle
17,Embedded Developer,Geotab,https://ca.linkedin.com/jobs/view/embedded-developer-at-geotab-4207113595?position=8&pageNum=2&refId=yAGcRoF03i2XdrM26W3JYg%3D%3D&trackingId=RLsrHGIz3Bywe9BHpRkxuQ%3D%3D,"Oakville, Ontario, Canada",https://ca.linkedin.com/company/geotab?trk=public_jobs_jserp-result_job-search-card-subtitle
18,C Developer,IBM,https://ca.linkedin.com/jobs/view/c-developer-at-ibm-4198157075?position=9&pageNum=2&refId=yAGcRoF03i2XdrM26W3JYg%3D%3D&trackingId=sJNS6hjEIjfRydk%2Bl5hJxw%3D%3D,"Markham, Ontario, Canada",https://www.linkedin.com/company/ibm?trk=public_jobs_jserp-result_job-search-card-subtitle
19,Full Stack Developer - GFT,RBC,https://ca.linkedin.com/jobs/view/full-stack-developer-gft-at-rbc-4213579700?position=10&pageNum=2&refId=yAGcRoF03i2XdrM26W3JYg%3D%3D&trackingId=ORRBZOsPaq6%2BOjEUr7s3mQ%3D%3D,"Toronto, Ontario, Canada",https://ca.linkedin.com/company/rbc?trk=public_jobs_jserp-result_job-search-card-subtitle
20,Full Stack Developer,Tata Consultancy Services,https://ca.linkedin.com/jobs/view/full-stack-developer-at-tata-consultancy-services-4229203424?position=1&pageNum=5&refId=fEBakukRHIAFHpi43yYMgw%3D%3D&trackingId=8MhuqloRpa5HyoLVGWiZJA%3D%3D,"Toronto, Ontario, Canada",https://in.linkedin.com/company/tata-consultancy-services?trk=public_jobs_jserp-result_job-search-card-subtitle
21,"Front End Engineer, Finauto",ITjobs.ca,https://ca.linkedin.com/jobs/view/front-end-engineer-finauto-at-itjobs-ca-4231369621?position=2&pageNum=5&refId=fEBakukRHIAFHpi43yYMgw%3D%3D&trackingId=9wX5K%2FLWWb5cWgip6t5siQ%3D%3D,"Toronto, Ontario, Canada",https://ca.linkedin.com/company/itjobs-ca?trk=public_jobs_jserp-result_job-search-card-subtitle
22,Software Engineer III,Emburse,https://ca.linkedin.com/jobs/view/software-engineer-iii-at-emburse-4198727430?position=3&pageNum=5&refId=fEBakukRHIAFHpi43yYMgw%3D%3D&trackingId=UK6UgacHupcGKuBxPcIuGw%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/emburse?trk=public_jobs_jserp-result_job-search-card-subtitle
23,Software Engineer (Full Stack) - Evisort,Workday,https://ca.linkedin.com/jobs/view/software-engineer-full-stack-evisort-at-workday-4229771052?position=4&pageNum=5&refId=fEBakukRHIAFHpi43yYMgw%3D%3D&trackingId=fu%2BiIVp7LVj%2FVeHok2HZgA%3D%3D,"Greater Toronto Area, Canada",https://www.linkedin.com/company/workday?trk=public_jobs_jserp-result_job-search-card-subtitle
24,Payment Technical Specialist,Interac Corp.,https://ca.linkedin.com/jobs/view/payment-technical-specialist-at-interac-corp-4181547641?position=5&pageNum=5&refId=fEBakukRHIAFHpi43yYMgw%3D%3D&trackingId=Ec5WQdfnUG%2FEs1GKiA8NIw%3D%3D,"Toronto, Ontario, Canada",https://ca.linkedin.com/company/interac-corp?trk=public_jobs_jserp-result_job-search-card-subtitle
25,Full Stack Engineer,Rush Street Interactive,https://ca.linkedin.com/jobs/view/full-stack-engineer-at-rush-street-interactive-4231706460?position=6&pageNum=5&refId=fEBakukRHIAFHpi43yYMgw%3D%3D&trackingId=5s4rRF81Iq12ompGf9dZ0g%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/rush-street-interactive?trk=public_jobs_jserp-result_job-search-card-subtitle
26,"Senior Software Engineer, Fulfillment",Lyft,https://ca.linkedin.com/jobs/view/senior-software-engineer-fulfillment-at-lyft-4159219414?position=7&pageNum=5&refId=fEBakukRHIAFHpi43yYMgw%3D%3D&trackingId=Mq8%2Fqc0J3EB0hghNjFID2g%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/lyft?trk=public_jobs_jserp-result_job-search-card-subtitle
